# MANE Select GRCh38 v1.5: every gene, symbol and HGNC id.
# source MANE.GRCh38.v1.5.summary.txt.gz sha256 d10ace2720681a3b2e0eefd9da4f551274a6b4141ac9bfd6a2565dfb6e9ad55c
symbol	hgnc_id
AHCY	HGNC:343
AHCYL1	HGNC:344
AHCYL2	HGNC:22204
AHDC1	HGNC:25230
AHI1	HGNC:21575
AHNAK	HGNC:347
AHNAK2	HGNC:20125
AHR	HGNC:348
AHRR	HGNC:346
AHSA1	HGNC:1189
AHSG	HGNC:349
AHSP	HGNC:18075
AICDA	HGNC:13203
AIDA	HGNC:25761
AIF1	HGNC:352
AIF1L	HGNC:28904
AIFM1	HGNC:8768
AIFM2	HGNC:21411
AIFM3	HGNC:26398
AIG1	HGNC:21607
AIM2	HGNC:357
AIMP1	HGNC:10648
AIMP2	HGNC:20609
AIP	HGNC:358
AIPL1	HGNC:359
AIRE	HGNC:360
AIRIM	HGNC:26039
AJAP1	HGNC:30801
AJM1	HGNC:37284
AJUBA	HGNC:20250
AK1	HGNC:361
AK2	HGNC:362
AK3	HGNC:17376
AK4	HGNC:363
AK5	HGNC:365
AK6	HGNC:49151
AK7	HGNC:20091
AK8	HGNC:26526
AK9	HGNC:33814
AKAIN1	HGNC:28285
AKAP1	HGNC:367
AKAP10	HGNC:368
AKAP11	HGNC:369
AKAP12	HGNC:370
AKAP13	HGNC:371
AKAP14	HGNC:24061
AKAP17A	HGNC:18783
AKAP19	HGNC:28191
AKAP3	HGNC:373
AKAP4	HGNC:374
AKAP5	HGNC:375
AKAP6	HGNC:376
AKAP7	HGNC:377
AKAP8	HGNC:378
AKAP8L	HGNC:29857
AKAP9	HGNC:379
AKIP1	HGNC:1170
AKIRIN1	HGNC:25744
AKIRIN2	HGNC:21407
AKNA	HGNC:24108
AKNAD1	HGNC:28398
AKR1A1	HGNC:380
AKR1B1	HGNC:381
AKR1B10	HGNC:382
AKR1B15	HGNC:37281
AKR1C1	HGNC:384
AKR1C2	HGNC:385
AKR1C3	HGNC:386
AKR1C4	HGNC:387
AKR1C8	HGNC:23469
AKR1D1	HGNC:388
AKR1E2	HGNC:23437
AKR7A2	HGNC:389
AKR7A3	HGNC:390
AKT1	HGNC:391
AKT1S1	HGNC:28426
AKT2	HGNC:392
AKT3	HGNC:393
AKTIP	HGNC:16710
ALAD	HGNC:395
ALAS1	HGNC:396
ALAS2	HGNC:397
ALB	HGNC:399
ALCAM	HGNC:400
ALDH16A1	HGNC:28114
ALDH18A1	HGNC:9722
ALDH1A1	HGNC:402
ALDH1A2	HGNC:15472
ALDH1A3	HGNC:409
ALDH1B1	HGNC:407
ALDH1L1	HGNC:3978
ALDH1L2	HGNC:26777
ALDH2	HGNC:404
ALDH3A1	HGNC:405
ALDH3A2	HGNC:403
ALDH3B1	HGNC:410
ALDH3B2	HGNC:411
ALDH4A1	HGNC:406
ALDH5A1	HGNC:408
ALDH6A1	HGNC:7179
ALDH7A1	HGNC:877
ALDH8A1	HGNC:15471
ALDH9A1	HGNC:412
ALDOA	HGNC:414
ALDOB	HGNC:417
ALDOC	HGNC:418
ALG1	HGNC:18294
ALG10	HGNC:23162
ALG10B	HGNC:31088
ALG11	HGNC:32456
ALG12	HGNC:19358
ALG13	HGNC:30881
ALG14	HGNC:28287
ALG1L2	HGNC:37258
ALG2	HGNC:23159
ALG3	HGNC:23056
ALG5	HGNC:20266
ALG6	HGNC:23157
ALG8	HGNC:23161
ALG9	HGNC:15672
ALK	HGNC:427
ALKAL1	HGNC:33775
ALKAL2	HGNC:27683
ALKBH1	HGNC:17911
ALKBH2	HGNC:32487
ALKBH3	HGNC:30141
ALKBH4	HGNC:21900
ALKBH5	HGNC:25996
ALKBH6	HGNC:28243
ALKBH7	HGNC:21306
ALKBH8	HGNC:25189
ALLC	HGNC:17377
ALMS1	HGNC:428
ALOX12	HGNC:429
ALOX12B	HGNC:430
ALOX15	HGNC:433
ALOX15B	HGNC:434
ALOX5	HGNC:435
ALOX5AP	HGNC:436
ALOXE3	HGNC:13743
ALPG	HGNC:441
ALPI	HGNC:437
ALPK1	HGNC:20917
ALPK2	HGNC:20565
ALPK3	HGNC:17574
ALPL	HGNC:438
ALPP	HGNC:439
ALS2	HGNC:443
ALS2CL	HGNC:20605
ALX1	HGNC:1494
ALX3	HGNC:449
ALX4	HGNC:450
ALYREF	HGNC:19071
AMACR	HGNC:451
AMBN	HGNC:452
AMBP	HGNC:453
AMBRA1	HGNC:25990
AMD1	HGNC:457
AMDHD1	HGNC:28577
AMDHD2	HGNC:24262
AMELX	HGNC:461
AMELY	HGNC:462
AMER1	HGNC:26837
AMER2	HGNC:26360
AMER3	HGNC:26771
AMFR	HGNC:463
AMH	HGNC:464
AMHR2	HGNC:465
AMIGO1	HGNC:20824
AMIGO2	HGNC:24073
AMIGO3	HGNC:24075
AMMECR1	HGNC:467
AMMECR1L	HGNC:28658
AMN	HGNC:14604
AMN1	HGNC:27281
AMOT	HGNC:17810
AMOTL1	HGNC:17811
AMOTL2	HGNC:17812
AMPD1	HGNC:468
AMPD2	HGNC:469
AMPD3	HGNC:470
AMPH	HGNC:471
AMT	HGNC:473
AMTN	HGNC:33188
AMY1A	HGNC:474
AMY1B	HGNC:475
AMY1C	HGNC:476
AMY2A	HGNC:477
AMY2B	HGNC:478
AMZ1	HGNC:22231
AMZ2	HGNC:28041
ANAPC1	HGNC:19988
ANAPC10	HGNC:24077
ANAPC11	HGNC:14452
ANAPC13	HGNC:24540
ANAPC15	HGNC:24531
ANAPC16	HGNC:26976
ANAPC2	HGNC:19989
ANAPC4	HGNC:19990
ANAPC5	HGNC:15713
ANAPC7	HGNC:17380
ANG	HGNC:483
ANGEL1	HGNC:19961
ANGEL2	HGNC:30534
ANGPT1	HGNC:484
ANGPT2	HGNC:485
ANGPT4	HGNC:487
ANGPTL1	HGNC:489
ANGPTL2	HGNC:490
ANGPTL3	HGNC:491
ANGPTL4	HGNC:16039
ANGPTL5	HGNC:19705
ANGPTL6	HGNC:23140
ANGPTL7	HGNC:24078
ANGPTL8	HGNC:24933
ANHX	HGNC:40024
ANK1	HGNC:492
ANK2	HGNC:493
ANK3	HGNC:494
ANKAR	HGNC:26350
ANKDD1A	HGNC:28002
ANKDD1B	HGNC:32525
ANKEF1	HGNC:15803
ANKFN1	HGNC:26766
ANKFY1	HGNC:20763
ANKH	HGNC:15492
ANKHD1	HGNC:24714
ANKIB1	HGNC:22215
ANKK1	HGNC:21027
ANKLE1	HGNC:26812
ANKLE2	HGNC:29101
ANKMY1	HGNC:20987
ANKMY2	HGNC:25370
ANKRA2	HGNC:13208
ANKRD1	HGNC:15819
ANKRD10	HGNC:20265
ANKRD11	HGNC:21316
